https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BAT,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1620691200000,2021-05-11 00:00:00,BAT/USDT,1.31537077,1.389,1.2519,1.38531548,23285.2265942696375164,17432.00764868,0,0,0,1.33577423
1620604800000,2021-05-10 00:00:00,BAT/USDT,1.39978494,1.48900676,1.28010001,1.30252505,65172.358206799321147,45893.71444474,0,0,0,1.42007155
1620518400000,2021-05-09 00:00:00,BAT/USDT,1.4267123,1.45892473,1.336,1.4116129,72635.8974113579781205,52988.82529297,0,0,0,1.37077765
1620432000000,2021-05-08 00:00:00,BAT/USDT,1.38795698,1.51792278,1.381788,1.42785087,40013.5352708259006192,27776.57067216,0,0,0,1.44054987
1620345600000,2021-05-07 00:00:00,BAT/USDT,1.4116129,1.58903225,1.34999999,1.40223989,183684.3663807773429782,123215.51716366,0,0,0,1.49075677
1620259200000,2021-05-06 00:00:00,BAT/USDT,1.37612903,1.44262721,1.32284131,1.41081304,116182.8236291253350532,83745.98465612,0,0,0,1.38732411
1620172800000,2021-05-05 00:00:00,BAT/USDT,1.1738563,1.36617389,1.1738563,1.36405096,102429.950352381080721,79452.23028513,0,0,0,1.2892017
1620086400000,2021-05-04 00:00:00,BAT/USDT,1.29879423,1.29879424,1.14129382,1.1632258,27963.0670767573192638,23194.17377551,0,0,0,1.20560738
1620000000000,2021-05-03 00:00:00,BAT/USDT,1.26,1.32003273,1.26,1.30411746,21121.7026921849315625,16309.48670545,0,0,0,1.29505625
1619913600000,2021-05-02 00:00:00,BAT/USDT,1.28150537,1.29333333,1.23419354,1.25544897,15505.3890623713371639,12343.08726593,0,0,0,1.25620023
1619827200000,2021-05-01 00:00:00,BAT/USDT,1.26967741,1.298,1.23419354,1.26967741,23196.0749266332070368,18318.24270168,0,0,0,1.26628276
1619740800000,2021-04-30 00:00:00,BAT/USDT,1.17505376,1.26967741,1.16743069,1.25799052,18675.5590224039349436,15167.51116982,0,0,0,1.23128698
1619654400000,2021-04-29 00:00:00,BAT/USDT,1.19379716,1.2314318,1.15464898,1.19547564,10759.5005549448157056,8981.34878336,0,0,0,1.19798271
1619568000000,2021-04-28 00:00:00,BAT/USDT,1.22867125,1.28806408,1.15,1.19870967,29880.3301622598864564,24346.19112714,0,0,0,1.22731026
1619481600000,2021-04-27 00:00:00,BAT/USDT,1.15996357,1.25461194,1.13956989,1.22841905,40412.5471928290064984,33375.11899642,0,0,0,1.21085852
1619395200000,2021-04-26 00:00:00,BAT/USDT,1.01907591,1.1632258,1.0190759,1.15996357,36582.6366890535667986,32839.28731338,0,0,0,1.11398997
1619308800000,2021-04-25 00:00:00,BAT/USDT,1.02792274,1.10804637,0.97329111,1.03155518,51314.5351887472610653,49714.12948109,0,0,0,1.03219217
1619222400000,2021-04-24 00:00:00,BAT/USDT,1.17001561,1.17001561,1.03311827,1.03311827,10354.5743912435308055,9567.05224865,0,0,0,1.08231607
1619136000000,2021-04-23 00:00:00,BAT/USDT,1.06274912,1.17505376,0.87533689,1.17235329,60562.7875353753702144,58360.00996871,0,0,0,1.03774464
1619049600000,2021-04-22 00:00:00,BAT/USDT,1.20047484,1.24051038,1.05829758,1.07230769,40431.5419767525653184,35069.52884931,0,0,0,1.15289664
1618963200000,2021-04-21 00:00:00,BAT/USDT,1.27,1.31006951,1.19601271,1.20526611,28596.472242456645317,22593.69774115,0,0,0,1.26568358
1618876800000,2021-04-20 00:00:00,BAT/USDT,1.32604926,1.32604926,1.1601,1.26615384,54317.891127373077048,43849.22817145,0,0,0,1.23874224
1618790400000,2021-04-19 00:00:00,BAT/USDT,1.34923076,1.47,1.17884059,1.31474931,68090.2404400868751072,50910.43784264,0,0,0,1.33745148
1618704000000,2021-04-18 00:00:00,BAT/USDT,1.46632698,1.46632698,1.11718452,1.34222393,250015.1479838677852785,189335.03844489,0,0,0,1.32049065
1618617600000,2021-04-17 00:00:00,BAT/USDT,1.52444172,1.6,1.46632698,1.47524273,56611.3861879189919764,37116.92380522,0,0,0,1.52521762
1618531200000,2021-04-16 00:00:00,BAT/USDT,1.52865748,1.5781414,1.40477272,1.51931818,79516.3012127334206462,53203.54446613,0,0,0,1.49456774
1618444800000,2021-04-15 00:00:00,BAT/USDT,1.46920812,1.59343156,1.4399017,1.51931818,95346.2690794942356998,62997.95419402,0,0,0,1.51348199
1618358400000,2021-04-14 00:00:00,BAT/USDT,1.51257699,1.57,1.37,1.46920812,136275.1740671708100327,91458.22605789,0,0,0,1.49002643
1618272000000,2021-04-13 00:00:00,BAT/USDT,1.422623,1.51606915,1.39691361,1.49852032,53519.325481081403296,36889.05894844,0,0,0,1.4508184
1618185600000,2021-04-12 00:00:00,BAT/USDT,1.44466536,1.47373303,1.391,1.42239437,89398.8542225886520833,62406.83520711,0,0,0,1.43251703
1618099200000,2021-04-11 00:00:00,BAT/USDT,1.4574651,1.57076844,1.41395265,1.4399017,63012.5395579014436849,42806.87603159,0,0,0,1.47201911
1618012800000,2021-04-10 00:00:00,BAT/USDT,1.54592761,1.61935121,1.39413655,1.47,342797.1244095542365552,225249.37668188,0,0,0,1.52185604
1617926400000,2021-04-09 00:00:00,BAT/USDT,1.29756269,1.6440235,1.26500269,1.54773598,190691.4599061353868976,131461.48514488,0,0,0,1.45055002
1617840000000,2021-04-08 00:00:00,BAT/USDT,1.18040816,1.29979188,1.18040816,1.29756268,62774.4199703278382686,50373.96603346,0,0,0,1.24616791
1617753600000,2021-04-07 00:00:00,BAT/USDT,1.33741551,1.3789,1.15,1.18816326,71673.2630190932009184,57595.16045496,0,0,0,1.24443204
1617667200000,2021-04-06 00:00:00,BAT/USDT,1.2841416,1.34072733,1.17532272,1.33741554,91316.0143764554561238,72564.18517667,0,0,0,1.25841714
1617580800000,2021-04-05 00:00:00,BAT/USDT,1.18040816,1.283,1.13387755,1.28014285,44144.609096269681936,36823.32708256,0,0,0,1.19882185
1617494400000,2021-04-04 00:00:00,BAT/USDT,1.1120048,1.18681479,1.09836736,1.18006949,15968.7379723018309776,13823.24030856,0,0,0,1.15520946
1617408000000,2021-04-03 00:00:00,BAT/USDT,1.21103584,1.26131689,1.11249242,1.11836734,56578.256340825321867,47407.41712722,0,0,0,1.19344735
1617321600000,2021-04-02 00:00:00,BAT/USDT,1.16063645,1.28193634,1.1359335,1.21103584,52661.126487810866654,43758.42648514,0,0,0,1.2034511
1617235200000,2021-04-01 00:00:00,BAT/USDT,1.14513725,1.18893555,1.1173156,1.16058086,27722.322698331202821,24042.08154645,0,0,0,1.15307498
1617148800000,2021-03-31 00:00:00,BAT/USDT,1.17265306,1.18708939,1.07799393,1.14163265,15422.5258374172040234,13731.36220549,0,0,0,1.12316066
1617062400000,2021-03-30 00:00:00,BAT/USDT,1.13889532,1.20367346,1.12612244,1.15823238,15514.0313592853049944,13260.37483064,0,0,0,1.16995421
1616976000000,2021-03-29 00:00:00,BAT/USDT,1.12609704,1.1425563,1.07959183,1.14163265,13336.3115880090519096,11919.28095812,0,0,0,1.11888558
1616889600000,2021-03-28 00:00:00,BAT/USDT,1.08734693,1.14938775,1.05632653,1.11116755,13876.1356290406947168,12469.89418904,0,0,0,1.11277092
1616803200000,2021-03-27 00:00:00,BAT/USDT,1.07665669,1.09192663,1.01755102,1.07561256,14057.6891504204299096,13289.68025608,0,0,0,1.05778987
1616716800000,2021-03-26 00:00:00,BAT/USDT,0.97535355,1.09838169,0.97535355,1.07665669,20706.2629642626743898,19936.41088221,0,0,0,1.03861538
1616630400000,2021-03-25 00:00:00,BAT/USDT,0.9790067,1.01527943,0.93052301,0.96564287,30095.0283119142490368,30932.92325184,0,0,0,0.97291252
1616544000000,2021-03-24 00:00:00,BAT/USDT,1.05018796,1.12302027,0.95053027,0.98653061,11653.8315098271002415,11226.80959065,0,0,0,1.03803591
1616457600000,2021-03-23 00:00:00,BAT/USDT,1.09453202,1.11537004,1.028179,1.05632653,14104.018714197490212,13142.78560356,0,0,0,1.0731377
1616371200000,2021-03-22 00:00:00,BAT/USDT,1.12552311,1.21041601,1.07776296,1.0847691,81696.52386822798091,70989.15815461,0,0,0,1.150831
1616284800000,2021-03-21 00:00:00,BAT/USDT,1.07959183,1.13592332,1.0565,1.12441871,76267.4803693132103991,69284.76561477,0,0,0,1.10078283
1616198400000,2021-03-20 00:00:00,BAT/USDT,1.19184706,1.22588994,1.08720005,1.09024257,61330.5559980831029235,52470.24966645,0,0,0,1.16886343
1616112000000,2021-03-19 00:00:00,BAT/USDT,1.21022384,1.23762068,1.15134192,1.17599644,53246.7389910806473842,44625.13632438,0,0,0,1.19320059
